# 
#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.432806e-01       1.822927e-02       7.065011e-02       5.633269e+00       5.845017e-03       5.495654e-01
           1       1.912049e-01       1.848227e-03       1.084853e-01       3.858468e+00       3.772865e-03       4.158494e-01
           2       2.249771e-01       4.672840e-03       1.163290e-01       4.765689e+00       5.069138e-03       4.724382e-01
           3       2.270895e-01       1.767129e-02       1.221331e-01       5.567503e+00       5.782616e-03       4.953100e-01
           4       2.199637e-01       2.652225e-04       1.104743e-01       5.645008e+00       8.846572e-03       4.878005e-01
           5       2.126830e-01       1.357135e-03       1.204829e-01       4.405382e+00       9.026905e-03       4.378816e-01
           6       2.101320e-01       1.506393e-03       1.122568e-01       3.783010e+00       5.330400e-03       4.228668e-01
           7       2.203479e-01       1.133067e-03       1.198786e-01       3.634899e+00       7.914389e-03       4.219395e-01
           8       1.718890e-01       1.394504e-03       9.815843e-02       3.597051e+00       5.870731e-03       4.083331e-01
           9       1.872072e-01       3.159570e-03       1.010828e-01       3.472673e+00       2.969501e-03       3.966242e-01
          10       2.005363e-01       1.365588e-03       1.006258e-01       2.875786e+00       3.672350e-03       3.672860e-01
          11       2.147712e-01       6.693070e-03       1.111382e-01       2.903491e+00       6.956515e-03       3.487654e-01
          12       2.163500e-01       4.067175e-03       1.085748e-01       2.632728e+00       8.112682e-03       3.229075e-01
          13       1.928851e-01       6.710484e-03       9.091549e-02       5.974291e+00       5.248971e-03       4.896046e-01
          14       2.784092e-01       2.104938e-03       1.485393e-01       3.357678e+00       6.350501e-03       3.473436e-01
          15       2.478602e-01       9.830849e-03       1.298326e-01       3.364841e+00       6.161863e-03       3.080939e-01
          16       1.843733e-01       6.371061e-03       9.001079e-02       3.941345e+00       1.557717e-03       4.209154e-01
          17       3.642518e-01       2.676358e-02       1.781269e-01       6.250661e+00       5.041011e-03       5.195049e-01
          18       3.511548e-01       4.858714e-03       1.550753e-01       4.543207e+00       6.267186e-03       4.676140e-01
          19       3.416194e-01       7.304217e-03       1.515435e-01       5.317327e+00       6.647331e-03       4.947207e-01
          20       3.666832e-01       4.112817e-03       1.603164e-01       5.232882e+00       6.752671e-03       5.019798e-01
          21       3.756781e-01       4.138378e-03       1.640733e-01       5.472069e+00       7.622465e-03       5.231203e-01
          22       3.775991e-01       1.034206e-02       1.658629e-01       5.437224e+00       8.116626e-03       5.302133e-01
          23       3.776648e-01       8.144018e-03       1.637116e-01       5.301297e+00       7.018174e-03       5.385437e-01
          24       3.756725e-01       1.276386e-02       1.653180e-01       4.800189e+00       7.833856e-03       5.302745e-01
          25       3.477752e-01       1.664220e-02       1.698351e-01       5.273267e+00       7.815594e-03       5.502199e-01
          26       3.837754e-01       2.993849e-03       1.674848e-01       5.739204e+00       7.918156e-03       5.334599e-01
          27       3.921239e-01       1.713393e-03       1.695106e-01       5.465972e+00       7.431076e-03       5.192620e-01
          28       3.864246e-01       1.942640e-03       1.695072e-01       5.415267e+00       4.193874e-03       5.084986e-01
          29       3.845426e-01       3.584559e-03       1.692944e-01       5.619190e+00       6.695624e-03       4.988810e-01
          30       4.251472e-01       1.195315e-02       1.872683e-01       5.303277e+00       5.886786e-03       5.321029e-01
          31       3.881219e-01       1.125008e-02       1.675537e-01       5.949618e+00       7.644888e-03       5.601025e-01
          32       2.933496e-01       4.469505e-02       1.369152e-01       5.909292e+00       7.297485e-03       5.819506e-01
          33       3.799035e-01       2.495306e-03       1.666138e-01       6.397966e+00       9.598229e-03       5.367444e-01
          34       3.771862e-01       4.729032e-03       1.623558e-01       6.288650e+00       9.114055e-03       5.323636e-01
          35       3.202693e-01       3.160390e-03       1.265928e-01       6.281081e+00       8.312860e-03       5.473143e-01
          36       3.140742e-01       1.260712e-03       1.250987e-01       6.362280e+00       1.106902e-02       5.586983e-01
          37       4.019331e-01       1.118607e-02       1.591340e-01       6.949065e+00       6.489217e-03       6.045875e-01
          38       4.316480e-01       2.214321e-02       1.905320e-01       7.388362e+00       7.913769e-03       6.255683e-01
          39       4.043876e-01       6.523583e-03       1.770133e-01       6.798300e+00       6.112480e-03       6.326681e-01
          40       3.678564e-01       2.068374e-03       1.682388e-01       5.477950e+00       6.789575e-03       5.051037e-01
          41       3.293389e-01       1.141015e-02       1.488503e-01       4.789077e+00       5.482252e-03       4.451777e-01
          42       3.997537e-01       6.258657e-03       1.695576e-01       6.368236e+00       6.762248e-03       5.629992e-01
          43       2.948982e-01       2.091692e-03       1.339262e-01       6.017971e+00       6.584917e-03       5.126660e-01
          44       4.584777e-01       8.868757e-03       1.840189e-01       6.799886e+00       6.567611e-03       5.767007e-01
          45       3.302810e-01       1.481190e-02       1.492129e-01       7.882420e+00       5.970707e-03       6.122420e-01
          46       3.562569e-01       4.209631e-03       1.758036e-01       9.458260e+00       5.037093e-03       7.114433e-01
          47       3.442811e-01       5.006502e-03       1.762055e-01       8.979361e+00       5.451581e-03       6.981154e-01
          48       3.451703e-01       8.115264e-03       1.878495e-01       8.158078e+00       5.371628e-03       6.842390e-01
          49       3.354285e-01       2.002431e-02       1.857009e-01       7.471592e+00       8.173433e-03       6.491994e-01
          50       3.472281e-01       2.186868e-02       1.978806e-01       8.113374e+00       7.195591e-03       6.497325e-01
          51       3.277303e-01       2.323765e-03       1.781815e-01       4.618810e+00       7.216452e-03       5.107145e-01
          52       3.614035e-01       2.808319e-02       2.059701e-01       8.658994e+00       1.158267e-02       6.988196e-01
