# 
#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       3.149061e-01       1.219777e-02       1.582145e-01       3.249745e+00       4.017381e-03       3.790970e-01
           1       2.422895e-01       7.562352e-03       1.320779e-01       1.534185e+00       4.531906e-03       2.791774e-01
           2       2.674620e-01       8.035182e-03       1.375688e-01       2.292490e+00       1.416451e-03       3.156645e-01
           3       2.006528e-01       3.703549e-04       1.049193e-01       2.405673e+00       5.449457e-03       3.326155e-01
           4       2.283327e-01       3.738653e-04       1.199369e-01       2.237073e+00       1.988143e-03       2.938477e-01
           5       1.419557e-01       1.768097e-02       8.152449e-02       4.858149e+00       2.645679e-03       4.465678e-01
           6       2.544721e-01       1.299321e-02       1.367175e-01       4.186551e+00       5.417500e-03       4.160981e-01
           7       2.952541e-01       7.578910e-04       1.502726e-01       3.018645e+00       4.817806e-03       3.546954e-01
           8       2.847296e-01       2.660280e-03       1.472743e-01       3.560070e+00       4.634887e-03       3.730950e-01
           9       2.868236e-01       1.107548e-02       1.516854e-01       4.202644e+00       4.858320e-03       4.032683e-01
          10       2.800179e-01       2.006913e-02       1.442992e-01       4.076473e+00       4.699907e-03       3.679244e-01
          11       2.950800e-01       1.892418e-02       1.608992e-01       5.733799e+00       3.567093e-03       4.219597e-01
          12       2.940825e-01       1.474043e-02       1.571778e-01       5.504414e+00       2.463560e-03       4.198374e-01
          13       2.568441e-01       4.769336e-02       1.325282e-01       5.189899e+00       1.378152e-03       4.548740e-01
          14       1.730777e-01       3.321757e-02       9.034987e-02       5.012937e+00       6.705370e-03       5.071180e-01
          15       1.743295e-01       3.635577e-02       9.489728e-02       4.296805e+00       4.977219e-03       4.712019e-01
          16       1.660128e-01       2.764267e-02       9.168529e-02       4.182764e+00       5.945316e-03       4.431070e-01
          17       2.326178e-01       5.041026e-02       1.229370e-01       4.707716e+00       3.692980e-03       4.766119e-01
          18       2.172496e-01       3.012421e-02       1.197229e-01       3.638786e+00       4.901306e-03       3.993624e-01
          19       2.712007e-01       4.054272e-02       1.519883e-01       5.405557e+00       4.185748e-03       4.692711e-01
          20       2.925529e-01       1.439873e-02       1.636612e-01       6.381864e+00       4.195249e-03       4.901531e-01
          21       3.161355e-01       2.046308e-02       1.629771e-01       6.347765e+00       4.241467e-03       4.661452e-01
          22       3.648414e-01       2.539053e-02       1.919784e-01       6.726443e+00       4.806895e-03       5.188576e-01
          23       2.961007e-01       4.582657e-03       1.512391e-01       6.440236e+00       3.923550e-03       5.009297e-01
          24       3.308522e-01       2.105883e-02       1.698216e-01       6.400521e+00       3.724862e-03       5.108671e-01
          25       3.218799e-01       1.595728e-02       1.678372e-01       5.462693e+00       2.047727e-03       4.946243e-01
          26       3.415991e-01       1.063304e-03       1.717550e-01       6.200917e+00       2.526010e-03       5.214467e-01
          27       3.323045e-01       2.519879e-03       1.681297e-01       5.436909e+00       2.497300e-03       5.053191e-01
          28       3.286363e-01       3.104932e-03       1.575987e-01       4.494942e+00       3.303041e-03       5.003340e-01
          29       3.498859e-01       2.343014e-03       1.765935e-01       5.354785e+00       3.085540e-03       5.572962e-01
          30       3.279951e-01       2.931342e-03       1.658007e-01       4.581856e+00       2.567186e-03       5.213740e-01
          31       3.634210e-01       6.983680e-03       1.808625e-01       4.469626e+00       2.309697e-03       5.073660e-01
          32       3.917733e-01       5.381014e-03       1.963763e-01       4.467740e+00       2.137447e-03       4.866099e-01
          33       4.118183e-01       4.844554e-03       1.939676e-01       4.324767e+00       2.059361e-03       4.635649e-01
          34       4.108901e-01       1.702435e-03       1.995022e-01       3.873440e+00       1.853360e-03       4.427549e-01
          35       3.953314e-01       4.132094e-03       1.942480e-01       3.502309e+00       2.205004e-03       4.185289e-01
          36       3.876076e-01       7.751516e-05       1.915331e-01       3.373983e+00       2.511441e-03       3.988492e-01
          37       3.895918e-01       7.349257e-04       1.884128e-01       3.407520e+00       3.622696e-03       4.185816e-01
          38       4.041584e-01       1.223491e-02       2.015170e-01       3.581525e+00       3.876204e-03       4.346517e-01
          39       4.084971e-01       1.466104e-02       2.074695e-01       3.629110e+00       4.238295e-03       4.512261e-01
          40       3.843797e-01       1.709594e-02       1.965382e-01       3.717601e+00       2.430121e-03       4.136083e-01
          41       3.800714e-01       2.749423e-02       1.882254e-01       3.596622e+00       4.917632e-03       4.399331e-01
          42       3.595317e-01       1.026279e-02       1.714126e-01       2.988112e+00       3.847135e-03       4.064797e-01
          43       3.821536e-01       5.102898e-03       1.974966e-01       3.969978e+00       5.967749e-03       4.592449e-01
          44       3.565593e-01       6.190746e-04       1.916636e-01       4.361764e+00       6.172041e-03       4.701974e-01
          45       3.542181e-01       1.338934e-03       1.836424e-01       4.133379e+00       4.456761e-03       4.649279e-01
          46       3.450458e-01       1.136650e-03       1.757063e-01       4.292135e+00       4.643289e-03       4.761476e-01
          47       3.449910e-01       1.776369e-03       1.801449e-01       4.151885e+00       4.219850e-03       4.678715e-01
          48       3.451350e-01       1.978470e-03       1.800113e-01       4.087215e+00       4.149342e-03       4.658286e-01
          49       3.460536e-01       2.411794e-03       1.818213e-01       4.060006e+00       4.804742e-03       4.606017e-01
          50       3.525344e-01       5.989424e-03       1.801895e-01       4.221987e+00       4.688485e-03       4.738018e-01
          51       2.901973e-01       9.495813e-03       1.547082e-01       3.861987e+00       7.107314e-03       3.687469e-01
          52       3.467110e-01       4.671165e-03       1.712125e-01       5.771126e+00       4.171907e-03       5.026657e-01
